task_id,task_description,creation_date,due_date,priority,task_category,assigned_to,estimated_effort_hours,user_preferred_categories,user_current_workload
1,Explore trends in tech.,2025-06-04,,Medium,Research,Isaac,9,"Marketing, HR",2
2,Research Vision methods.,2025-05-19,2025-06-12,Low,Research,Chloe,7,"Research, Support",7
3,Analyze QQ4 campaign data.,2025-02-28,2025-03-30,High,Marketing,Grace,8,Marketing,0
4,Deploy v1.7 to production.,2025-03-19,2025-04-15,Medium,Development,David,2,Development,6
5,Schedule meeting with CTO.,2025-02-19,2025-03-17,High,Admin,Ivy,5,Admin,4
6,Reconcile travel fund records.,2025-02-24,2025-03-02,High,Finance,Uma,3,"Finance, Admin",1
7,Schedule interview for Dev.,2025-03-27,2025-04-07,Critical,HR,Frank,9,"HR, Support",6
8,Schedule interview for Marketer.,2025-05-03,2025-05-13,Low,HR,Emily,3,"HR, Finance",1
9,Audit travel fund expenses.,2025-07-07,2025-07-31,Critical,Finance,Victor,2,"HR, Finance",1
10,Schedule meeting with CEO.,2025-07-25,2025-08-10,Medium,Admin,Jessica,6,HR,7
11,Reconcile petty cash records.,2025-03-10,2025-03-12,Medium,Finance,Alex,10,Research,8
12,Plan HR activity for Q4.,2025-06-26,,High,HR,Frank,5,"HR, Support",6
13,Assist with subscription.,2025-07-17,2025-08-08,High,Support,Victor,6,"HR, Finance",1
14,Update records for promotion.,2025-07-08,2025-08-06,Medium,HR,Chloe,4,"Research, Support",7
15,Update records for promotion.,2025-05-05,2025-05-21,Low,HR,Frank,1,"HR, Support",6
16,Reconcile petty cash records.,2025-06-23,,Medium,Finance,Jack,4,Admin,8
17,Deploy v1.7 to production.,2025-05-14,2025-06-03,Low,Development,Felix,3,Finance,6
18,Build prototype for blockchain.,2025-07-16,2025-07-19,Low,Research,Daniel,5,Research,4
19,Refactor auth module.,2025-04-19,2025-04-28,High,Development,Tina,9,Development,0
20,Reconcile petty cash records.,2025-06-13,2025-07-03,Low,Finance,Uma,12,"Finance, Admin",1
21,Refactor auth module.,2025-05-01,2025-05-23,Medium,Development,Grace,8,Marketing,0
22,Schedule meeting with CTO.,2025-03-07,2025-03-13,Low,Admin,Zoe,8,Admin,1
23,Refactor auth module.,2025-07-05,2025-08-04,Critical,Development,Xavier,3,Development,3
24,Fix bug #500 in UI.,2025-03-13,2025-03-28,Medium,Development,Liam,9,Development,0
25,Reconcile petty cash records.,2025-05-10,2025-05-30,High,Finance,Victor,2,"HR, Finance",1
26,Follow up with Client A.,2025-05-10,2025-06-01,Medium,Support,Karen,4,Support,7
27,Update travel log for Sarah D..,2025-07-23,2025-08-03,Critical,Admin,Wendy,11,Research,1
