task_id,task_description,creation_date,due_date,priority,task_category,assigned_to,estimated_effort_hours,user_preferred_categories,user_past_completion_time_avg_hours,user_current_workload
1,Schedule interviews for Software Engineer.,2025-04-22,2025-04-28,High,HR,Noah,12,"HR, Research",9.40024889822967,3
2,Plan team-building event for Q4.,2025-01-25,2025-01-29,High,HR,Noah,4,"HR, Research",9.40024889822967,3
3,Optimize encryption for performance.,2025-04-05,2025-04-24,Medium,Development,Oscar,7,Development,5.266581894916864,8
4,Update knowledge base article on troubleshooting guide.,2025-03-10,2025-03-22,Low,Support,Felix,7,Development,6.326325553825599,5
5,Update employee records for address change.,2025-03-25,2025-03-30,Medium,HR,Emily,8,"HR, Marketing",6.308737343217359,5
6,Prepare literature review on deep learning architectures.,2025-04-23,2025-05-13,Low,Research,Mia,7,"Finance, Research",9.029520330371653,8
7,Manage facility maintenance.,2025-01-29,2025-01-31,Critical,Admin,Emily,21,"HR, Marketing",6.308737343217359,5
8,Update knowledge base article on password reset.,2025-04-06,,High,Support,Alice,4,"Support, Marketing",8.55145246285532,1
9,Escalate complex issue to Tier 2 Support.,2025-03-03,2025-03-04,Medium,Support,Victor,2,Support,9.846408648143122,5
10,Optimize search for performance.,2025-07-08,2025-07-31,High,Development,Hannah,8,"Marketing, Development",8.616576794366768,1
11,Update knowledge base article on troubleshooting guide.,2025-04-08,2025-05-04,Critical,Support,Natalie,9,"Finance, Marketing",4.517745395195611,3
12,Coordinate travel arrangements for Chris Wilson.,2025-01-26,2025-02-20,High,Admin,Grace,11,Marketing,4.018330924725743,8
13,Draft new HR policy.,2025-04-02,,Medium,HR,Noah,6,"HR, Research",9.40024889822967,3
14,Organize company documents for legal.,2025-01-20,2025-02-17,Medium,Admin,Jessica,8,Admin,9.674887732588516,7
15,Draft new HR policy.,2025-03-05,2025-03-26,Critical,HR,Hannah,10,"Marketing, Development",8.616576794366768,1
16,Create social media campaign for AI Tool.,2025-03-30,2025-04-18,High,Marketing,Alice,4,"Support, Marketing",8.55145246285532,1
17,Follow up on pending Customer B request.,2025-04-27,2025-05-19,Medium,Support,Alice,5,"Support, Marketing",8.55145246285532,1
18,Update knowledge base article on password reset.,2025-03-11,2025-03-12,Low,Support,Victor,3,Support,9.846408648143122,5
19,Optimize search for performance.,2025-06-22,2025-07-12,Medium,Development,Felix,10,Development,6.326325553825599,5
20,Research new AI algorithms for computer vision.,2025-01-26,,Medium,Research,Jack,10,"Admin, Research",5.860282541589919,3
21,Write unit tests for calculate_total.,2025-03-17,,Critical,Development,David,15,"Development, Marketing",7.17565478893349,6
22,Write unit tests for calculate_total.,2025-02-02,,Low,Development,Oscar,6,Development,5.266581894916864,8
23,Optimize sorting for performance.,2025-06-08,2025-07-08,Critical,Development,Tina,7,"Support, Development",3.6216459635052445,8
24,Resolve customer ticket #TKT-3837 for login issue.,2025-06-22,,Critical,Support,Daniel,18,"Support, Marketing",9.116648644946071,6
25,Research competitor Competitor B.,2025-07-14,2025-08-04,Critical,Marketing,Yara,14,Marketing,9.16830741477354,1
26,Develop prototype for blockchain.,2025-04-12,2025-04-28,High,Research,Henry,12,"HR, Marketing",6.726911864478398,2
27,Optimize search for performance.,2025-03-06,2025-04-02,Low,Development,Felix,7,Development,6.326325553825599,5
28,Fix bug #751 in authentication.,2025-02-12,,Low,Development,Chloe,8,Finance,5.175381946852099,8
29,Plan team-building event for Q2.,2025-02-14,,Medium,HR,Henry,8,"HR, Marketing",6.726911864478398,2
30,Deploy v3.0 to production.,2025-07-19,2025-07-26,Medium,Development,Bob,12,Marketing,7.569853667031811,8
31,Onboard new hire John Doe.,2025-01-28,,Low,HR,Eve,7,"Marketing, Development",8.954401079151518,3
32,Schedule meeting with CTO.,2025-03-22,,Medium,Admin,Victor,4,Support,9.846408648143122,5
33,Prepare payroll for May.,2025-01-21,2025-02-02,Low,Finance,Mia,7,"Finance, Research",9.029520330371653,8
34,Analyze market trends for finance.,2025-02-14,2025-03-13,Critical,Research,Noah,10,"HR, Research",9.40024889822967,3
35,Manage facility maintenance.,2025-05-18,2025-06-17,Critical,Admin,Ben,15,Admin,4.809463841776423,8
36,Coordinate travel arrangements for Sarah Davis.,2025-01-28,2025-02-21,High,Admin,Grace,5,Marketing,4.018330924725743,8
37,Analyze market trends for healthcare.,2025-02-18,2025-03-17,High,Research,Daniel,14,"Support, Marketing",9.116648644946071,6
38,Update employee records for address change.,2025-06-03,2025-06-12,Low,HR,Liam,6,"Marketing, Finance",7.646306669857175,7
39,Research competitor Competitor B.,2025-06-05,2025-06-18,Critical,Marketing,Bob,14,Marketing,7.569853667031811,8
40,Manage facility maintenance.,2025-05-23,,Low,Admin,Peter,3,"Marketing, Finance",4.826433608766385,5
41,Write unit tests for get_user_data.,2025-02-21,2025-03-22,High,Development,Felix,14,Development,6.326325553825599,5
42,Resolve customer ticket #TKT-2820 for billing error.,2025-02-14,2025-02-18,Low,Support,Tina,5,"Support, Development",3.6216459635052445,8
43,Resolve customer ticket #TKT-3837 for billing error.,2025-02-06,2025-03-02,Low,Support,Kevin,1,"Marketing, Research",4.862091593477015,7
44,Write unit tests for calculate_total.,2025-04-26,2025-05-06,Critical,Development,Eve,10,"Marketing, Development",8.954401079151518,3
45,Research competitor Competitor A.,2025-07-11,,Critical,Marketing,Grace,24,Marketing,4.018330924725743,8
46,Audit QQ1 expenses.,2025-03-03,2025-03-09,Low,Finance,Mia,4,"Finance, Research",9.029520330371653,8
47,Review QQ4 budget report.,2025-06-18,2025-07-01,Low,Finance,Chloe,3,Finance,5.175381946852099,8
48,Optimize search for performance.,2025-05-16,2025-06-10,High,Development,Mark,6,Marketing,3.272879263443162,6
49,Prepare literature review on machine learning trends.,2025-03-27,2025-04-15,High,Research,Jack,5,"Admin, Research",5.860282541589919,3
50,Schedule meeting with CTO.,2025-03-22,,Medium,Admin,Eve,3,"Marketing, Development",8.954401079151518,3
51,Update knowledge base article on password reset.,2025-04-28,2025-05-22,Low,Support,Jessica,6,Admin,9.674887732588516,7
52,Update knowledge base article on troubleshooting guide.,2025-03-13,2025-04-12,Medium,Support,Kevin,6,"Marketing, Research",4.862091593477015,7
53,Research competitor Competitor B.,2025-01-24,2025-01-28,Critical,Marketing,Henry,10,"HR, Marketing",6.726911864478398,2
54,Refactor payment gateway.,2025-04-20,2025-05-20,Medium,Development,Oscar,10,Development,5.266581894916864,8
55,Update knowledge base article on troubleshooting guide.,2025-05-29,2025-06-01,Low,Support,Sam,8,"Admin, Support",4.882980999101189,7
56,Analyze market trends for tech.,2025-06-04,2025-06-27,Critical,Research,Kevin,15,"Marketing, Research",4.862091593477015,7
57,Audit QQ1 expenses.,2025-03-04,2025-03-21,High,Finance,Alex,10,Finance,9.579854647699872,6
58,Provide technical assistance for subscription management.,2025-04-06,2025-04-25,Critical,Support,Mia,16,"Finance, Research",9.029520330371653,8
59,Create social media campaign for AI Tool.,2025-07-07,2025-07-19,Low,Marketing,Mark,2,Marketing,3.272879263443162,6
60,Draft email newsletter for latest features.,2025-07-08,2025-07-21,Medium,Marketing,Yara,5,Marketing,9.16830741477354,1
61,Update employee records for promotion.,2025-04-29,2025-05-15,High,HR,Bob,7,Marketing,7.569853667031811,8
62,Coordinate travel arrangements for Chris Wilson.,2025-06-18,,Critical,Admin,Bob,16,Marketing,7.569853667031811,8
63,Conduct user interviews for checkout process.,2025-03-08,2025-03-13,High,Research,Wendy,12,"Admin, Research",6.105603273126828,8
64,Update employee records for promotion.,2025-02-21,2025-02-24,Medium,HR,Rachel,1,Research,6.307802224356129,7
